Районы;Население (population) 2024;alveococcosis_cases_2024;diphyllobothriasis_cases_2024;echinococcosis_cases_2024;opisthorchiasis_cases_2024;alveococcosis_rate_2024;diphyllobothriasis_rate_2024;echinococcosis_rate_2024;opisthorchiasis_rate_2024;Население (population) 2023;alveococcosis_cases_2023;diphyllobothriasis_cases_2023;echinococcosis_cases_2023;opisthorchiasis_cases_2023;alveococcosis_rate_2023;diphyllobothriasis_rate_2023;echinococcosis_rate_2023;opisthorchiasis_rate_2023;Население (population) 2022;alveococcosis_cases_2022;diphyllobothriasis_cases_2022;echinococcosis_cases_2022;opisthorchiasis_cases_2022;alveococcosis_rate_2022;diphyllobothriasis_rate_2022;echinococcosis_rate_2022;opisthorchiasis_rate_2022;Население (population) 2021;alveococcosis_cases_2021;diphyllobothriasis_cases_2021;echinococcosis_cases_2021;opisthorchiasis_cases_2021;alveococcosis_rate_2021;diphyllobothriasis_rate_2021;echinococcosis_rate_2021;opisthorchiasis_rate_2021
Абатский район;18783;0;0;1;2;0,00;0,00;5,32;10,65;15960;0;0;0;1;0,00;0,00;0,00;6,27;16260;0;0;0;0;0,00;0,00;0,00;0,00;16535;0;0;0;0;0,00;0,00;0,00;0,00
Армизонский район;9353;0;0;0;0;0,00;0,00;0,00;0,00;8900;0;0;0;0;0,00;0,00;0,00;0,00;9038;0;0;0;0;0,00;0,00;0,00;0,00;9118;0;0;0;2;0,00;0,00;0,00;21,93
Аромашевский район;10350;0;0;0;54;0,00;0,00;0,00;521,74;9616;0;0;0;2;0,00;0,00;0,00;20,80;9873;0;0;0;3;0,00;0,00;0,00;30,39;10101;0;0;0;4;0,00;0,00;0,00;39,60
Бердюжский район;10877;0;0;1;2;0,00;0,00;9,19;18,39;10275;0;0;0;3;0,00;0,00;0,00;29,20;10467;0;0;0;0;0,00;0,00;0,00;0,00;10618;0;0;0;1;0,00;0,00;0,00;9,42
Вагайский район;17943;0;0;0;2;0,00;0,00;0,00;11,15;19878;0;0;0;7;0,00;0,00;0,00;35,21;20238;0;0;1;11;0,00;0,00;4,94;54,35;20436;0;1;0;5;0,00;4,89;0,00;24,47
Викуловский район;14843;0;0;0;5;0,00;0,00;0,00;33,69;14685;0;0;0;9;0,00;0,00;0,00;61,29;14920;0;0;0;2;0,00;0,00;0,00;13,40;15108;0;0;0;3;0,00;0,00;0,00;19,86
Голышмановский муниципальный округ;23429;0;0;0;74;0,00;0,00;0,00;315,85;24597;0;0;0;85;0,00;0,00;0,00;345,57;24922;0;0;0;51;0,00;0,00;0,00;204,64;25145;0;0;0;24;0,00;0,00;0,00;95,45
Заводоуковский муниципальный округ;47461;0;1;1;3;0,00;2,11;2,11;6,32;46173;0;0;0;10;0,00;0,00;0,00;21,66;46382;0;1;0;31;0,00;2,16;0,00;66,84;46768;0;5;0;63;0,00;10,69;0,00;134,71
Исетский район;26041;0;0;1;24;0,00;0,00;3,84;92,16;24536;0;0;1;41;0,00;0,00;4,08;167,10;24729;0;0;0;11;0,00;0,00;0,00;44,48;24878;0;0;0;6;0,00;0,00;0,00;24,12
Ишимский район;28364;1;0;0;2;3,53;0,00;0,00;7,05;91134;0;0;1;46;0,00;0,00;1,10;50,48;92055;0;0;1;98;0,00;0,00;1,09;106,46;-;-;-;-;-;-;-;-;-
Казанский район;20047;1;0;1;0;4,99;0,00;4,99;0,00;20990;0;0;0;2;0,00;0,00;0,00;9,53;21127;0;0;0;10;0,00;0,00;0,00;47,33;21248;0;0;0;0;0,00;0,00;0,00;0,00
Нижнетавдинский район;27046;0;1;0;36;0,00;3,70;0,00;133,11;21268;0;0;0;2;0,00;0,00;0,00;9,40;21450;0;0;0;2;0,00;0,00;0,00;9,32;21672;0;0;0;2;0,00;0,00;0,00;9,23
Омутинский район;18444;0;0;0;42;0,00;0,00;0,00;227,72;17649;0;0;0;42;0,00;0,00;0,00;237,97;17926;0;0;0;5;0,00;0,00;0,00;27,89;18088;0;0;0;19;0,00;0,00;0,00;105,04
Сладковский район;10860;0;0;1;0;0,00;0,00;9,21;0,00;9500;0;0;0;0;0,00;0,00;0,00;0,00;9735;0;0;0;0;0,00;0,00;0,00;0,00;9968;0;0;0;0;0,00;0,00;0,00;0,00
Сорокинский район;9391;0;0;0;0;0,00;0,00;0,00;0,00;9161;0;0;0;1;0,00;0,00;0,00;10,92;9257;0;0;0;0;0,00;0,00;0,00;0,00;9403;0;0;0;0;0,00;0,00;0,00;0,00
Тобольский район;21864;0;0;0;0;0,00;0,00;0,00;0,00;19852;0;1;0;2;0,00;5,04;0,00;10,07;20086;0;0;1;2;0,00;0,00;4,98;9,96;20291;0;0;0;1;0,00;0,00;0,00;4,93
Тюменский район;140102;0;2;4;102;0,00;1,43;2,86;72,80;131471;0;0;3;109;0,00;0,00;2,28;82,91;128987;0;2;2;55;0,00;1,55;1,55;42,64;127337;0;0;0;40;0,00;0,00;0,00;31,41
Уватский район;18622;0;0;1;3;0,00;0,00;5,37;16,11;19181;0;2;0;39;0,00;10,43;0,00;203,33;19243;0;1;0;25;0,00;5,20;0,00;129,92;19335;0;2;0;15;0,00;10,34;0,00;77,58
Упоровский район;19348;1;0;0;18;5,17;0,00;0,00;93,03;19776;0;5;0;49;0,00;25,28;0,00;247,78;20038;0;0;0;29;0,00;0,00;0,00;144,73;20296;0;0;1;9;0,00;0,00;4,93;44,34
Юргинский район;11138;0;0;0;3;0,00;0,00;0,00;26,93;10915;0;0;0;53;0,00;0,00;0,00;485,57;11026;0;0;0;64;0,00;0,00;0,00;580,45;11175;0;0;0;2;0,00;0,00;0,00;17,90
Ярковский район;23229;0;1;1;40;0,00;4,30;4,30;172,20;22812;0;1;2;101;0,00;4,38;8,77;442,75;22862;0;0;0;28;0,00;0,00;0,00;122,47;23041;0;1;0;45;0,00;4,34;0,00;195,30
Ялуторовский район;15967;0;0;0;3;0,00;0,00;0,00;18,79;53843;0;0;0;11;0,00;0,00;0,00;20,43;53997;0;0;0;5;0,00;0,00;0,00;9,26;54341;0;0;0;10;0,00;0,00;0,00;18,40
городской округ Тобольск;103175;0;0;1;5;0,00;0,00;0,97;4,85;101401;0;1;0;8;0,00;0,99;0,00;7,89;102071;0;0;0;8;0,00;0,00;0,00;7,84;102279;0;3;0;20;0,00;2,93;0,00;19,55
Тюмень;855618;0;15;23;361;0,00;1,75;2,69;42,19;828575;1;11;24;631;0,12;1,33;2,90;76,15;816700;1;2;10;443;0,12;0,24;1,22;54,24;807271;1;4;10;282;0,12;0,50;1,24;34,93
городской округ Ишим;67317;0;0;0;9;0,00;0,00;0,00;13,37;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;92964;0;0;0;74;0,00;0,00;0,00;79,60
городской округ Ялуторовск;38882;0;0;0;7;0,00;0,00;0,00;18,00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
